Name,Year,Rating
Broker,2022,3.5
Jurassic World Dominion,2022,2.0
Aftersun,2022,4.0
Top Gun: Maverick,2022,4.0
Doctor Strange in the Multiverse of Madness,2022,1.0
Sonic the Hedgehog 2,2022,3.5
Moon Knight,2022,2.0
Fantastic Beasts: The Secrets of Dumbledore,2022,1.5
Incantation,2022,3.5
Deep Water,2022,3.0
The Bad Guys,2022,3.5
Bodies Bodies Bodies,2022,3.0
X,2022,3.5
Everything Everywhere All at Once,2022,0.5
The Weekend Away,2022,3.0
The Adam Project,2022,3.0
The Batman,2022,5.0
Turning Red,2022,2.0
Uncharted,2022,2.0
Death on the Nile,2022,2.5
Through My Window,2022,2.0
All of Us Are Dead,2022,4.0
Cha Cha Real Smooth,2022,3.5
Fresh,2022,2.5
The Royal Treatment,2022,1.0
Scream,2022,3.0
Harry Potter 20th Anniversary: Return to Hogwarts,2022,2.0
Jujutsu Kaisen 0,2021,2.0
The Matrix Resurrections,2021,3.5
Spider-Man: No Way Home,2021,0.5
The Hating Game,2021,2.5
The King's Man,2021,2.0
Don't Look Up,2021,3.0
Nightmare Alley,2021,3.0
Hawkeye,2021,1.5
Licorice Pizza,2021,3.5
Psych 3: This Is Gus,2021,3.0
Sing 2,2021,3.0
All Too Well: The Short Film,2021,4.0
Red Notice,2021,3.5
Army of Thieves,2021,4.0
Eternals,2021,3.0
No Time to Die,2021,4.5
The Black Phone,2021,4.0
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,1.0
Squid Game,2021,2.5
Venom: Let There Be Carnage,2021,3.0
Demon Slayer: Kimetsu no Yaiba — Asakusa Arc,2021,0.5
The Guilty,2021,2.5
Last Night in Soho,2021,3.0
Dune,2021,4.0
The Voyeurs,2021,2.0
Clickbait,2021,3.0
Shang-Chi and the Legend of the Ten Rings,2021,0.5
The Kissing Booth 3,2021,2.5
Free Guy,2021,3.0
Fear Street: 1994,2021,3.5
"Batman: The Long Halloween, Part One",2021,3.5
Luca,2021,4.0
The Conjuring: The Devil Made Me Do It,2021,1.5
F9,2021,2.5
Cruella,2021,4.0
The Woman in the Window,2021,2.0
Justice Society: World War II,2021,3.0
Army of the Dead,2021,3.0
Mortal Kombat,2021,3.0
Godzilla vs. Kong,2021,2.5
The Falcon and the Winter Soldier,2021,0.5
Nobody,2021,2.0
The Map of Tiny Perfect Things,2021,3.0
Tom & Jerry,2021,2.5
WandaVision,2021,0.5
Wonder Woman 1984,2020,1.5
The Call,2020,4.0
Borat Subsequent Moviefilm,2020,2.0
The Queen's Gambit,2020,3.5
Roald Dahl's The Witches,2020,0.5
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,0.5
Love and Monsters,2020,2.0
The Haunting of Bly Manor,2020,3.5
Run,2020,3.0
Hubie Halloween,2020,2.5
I Care a Lot,2020,3.0
Tenet,2020,4.0
Words on Bathroom Walls,2020,2.0
Host,2020,1.5
Psych 2: Lassie Come Home,2020,3.5
The F**k-It List,2020,2.5
The New Mutants,2020,3.0
All the Bright Places,2020,4.0
Palm Springs,2020,4.0
Promising Young Woman,2020,3.5
Sonic the Hedgehog,2020,3.5
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,3.0
Star Wars: The Rise of Skywalker,2019,3.5
6 Underground,2019,2.5
Little Women,2019,3.5
Spies in Disguise,2019,2.5
Jumanji: The Next Level,2019,3.0
Charlie's Angels,2019,3.0
Let It Snow,2019,2.5
Frozen II,2019,2.0
Terminator: Dark Fate,2019,1.5
Watchmen,2019,4.0
Zombieland: Double Tap,2019,3.5
Maleficent: Mistress of Evil,2019,2.5
Jojo Rabbit,2019,3.5
Knives Out,2019,3.5
Joker,2019,4.5
Ford v Ferrari,2019,4.0
Marriage Story,2019,4.5
It Chapter Two,2019,2.5
Dora and the Lost City of Gold,2019,1.5
Ready or Not,2019,3.5
The Lion King,2019,3.0
Midsommar,2019,3.5
Always Be My Maybe,2019,3.0
Vivarium,2019,1.5
Plus One,2019,3.5
After,2019,2.0
Nancy Drew and the Hidden Staircase,2019,3.0
Alita: Battle Angel,2019,4.5
Velvet Buzzsaw,2019,2.5
How to Train Your Dragon: The Hidden World,2019,4.0
Aquaman,2018,3.5
The Grinch,2018,2.5
Fantastic Beasts: The Crimes of Grindelwald,2018,3.0
The Haunting of Hill House,2018,4.0
Night School,2018,3.0
A Simple Favor,2018,3.0
Crazy Rich Asians,2018,3.0
The Meg,2018,3.0
Mission: Impossible – Fallout,2018,4.0
Ant-Man and the Wasp,2018,2.0
Teen Titans Go! To the Movies,2018,3.0
Set It Up,2018,2.5
Ocean's Eight,2018,1.5
Shoplifters,2018,4.0
Us and Them,2018,5.0
Truth or Dare,2018,3.0
Psych: The Movie,2017,3.5
Geostorm,2017,2.0
Happy Death Day,2017,1.5
Gerald's Game,2017,3.5
The Ritual,2017,1.5
It,2017,5.0
Lady Bird,2017,4.0
Veronica,2017,3.0
Valerian and the City of a Thousand Planets,2017,3.5
The Killing of a Sacred Deer,2017,3.0
Gifted,2017,5.0
The Space Between Us,2017,3.0
Get Out,2017,3.5
Before I Fall,2017,4.0
The Accountant,2016,4.0
Miss Peregrine's Home for Peculiar Children,2016,3.0
Snowden,2016,3.0
The Secret Life of Pets,2016,3.0
The Forest,2016,1.0
The Intern,2015,2.5
The Man from U.N.C.L.E.,2015,3.0
The Lobster,2015,3.0
Absolutely Anything,2015,1.5
Sleeping with Other People,2015,4.0
The Witch,2015,4.0
Nightcrawler,2014,3.0
The Judge,2014,3.0
The Grand Budapest Hotel,2014,3.5
Rush,2013,4.0
The Great Gatsby,2013,3.5
Before Midnight,2013,3.5
The Spectacular Now,2013,3.5
Sinister,2012,5.0
The Girl with the Dragon Tattoo,2011,4.0
In Time,2011,0.5
