Name,Year,Watched Date,Rating,Is_Rewatch,Is_Liked,Has_Review,Film_URL
Your Fault,2024,Dec 2024 31,3.0,No,No,Yes,/film/your-fault/
Gifted,2017,Dec 2024 30,5.0,No,Yes,Yes,/film/gifted-2017/
Constantine,2005,Dec 2024 30,4.0,No,No,Yes,/film/constantine/
Tropic Thunder,2008,Dec 2024 30,0.5,No,No,No,/film/tropic-thunder/
Caddo Lake,2024,Dec 2024 29,3.5,No,No,Yes,/film/caddo-lake/
Reptile,2023,Dec 2024 29,3.0,No,No,No,/film/reptile-2023/
Oppenheimer,2023,Dec 2024 29,4.0,Yes,No,No,/film/oppenheimer-2023/
The Fall Guy,2024,Dec 2024 27,3.5,No,No,Yes,/film/the-fall-guy-2024/
Drive,2011,Dec 2024 27,4.0,No,No,Yes,/film/drive-2011/
Little Women,2019,Dec 2024 26,3.5,No,No,Yes,/film/little-women-2019/
Wolfs,2024,Dec 2024 26,2.5,No,No,Yes,/film/wolfs/
Geostorm,2017,Dec 2024 25,2.0,No,No,No,/film/geostorm/
Notting Hill,1999,Dec 2024 25,3.5,No,No,Yes,/film/notting-hill/
Venom: The Last Dance,2024,Dec 2024 21,2.0,No,No,Yes,/film/venom-the-last-dance/
Carry-On,2024,Dec 2024 20,3.5,No,No,Yes,/film/carry-on-2024/
Heretic,2024,Dec 2024 20,4.0,No,No,Yes,/film/heretic-2024/
Juno,2007,Dec 2024 16,4.0,No,No,Yes,/film/juno/
Scott Pilgrim vs. the World,2010,Dec 2024 16,4.5,No,Yes,Yes,/film/scott-pilgrim-vs-the-world/
Late Night with the Devil,2023,Dec 2024 11,3.5,No,No,Yes,/film/late-night-with-the-devil/
We Live in Time,2024,Dec 2024 11,4.0,No,No,No,/film/we-live-in-time/
MaXXXine,2024,Dec 2024 11,2.0,No,No,No,/film/maxxxine/
Weekend in Taipei,2024,Dec 2024 06,2.0,No,No,Yes,/film/weekend-in-taipei/
The Virgin Suicides,1999,Nov 2024 26,4.0,No,No,No,/film/the-virgin-suicides/
Failure to Launch,2006,Nov 2024 23,3.0,No,No,No,/film/failure-to-launch/
