Title,Year,Rating,Film_ID,Slug,Poster_URL,Film_URL,Has_Review,Movie_ID
Death of a Unicorn,2025,2.5,1039736,death-of-a-unicorn,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/death-of-a-unicorn/,No,1039736
Mickey 17,2025,4.0,620281,mickey-17,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/mickey-17/,Yes,620281
The Gorge,2025,3.0,854687,the-gorge-2025,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-gorge-2025/,Yes,854687
My Fault: London,2025,1.0,1176918,my-fault-london,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/my-fault-london/,Yes,1176918
Together,2025,3.0,1125397,together-2025,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/together-2025/,Yes,1125397
The Ugly Stepsister,2025,3.5,1167657,the-ugly-stepsister,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-ugly-stepsister/,Yes,1167657
Companion,2025,3.5,977172,companion-2025,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/companion-2025/,No,977172
Your Fault,2024,3.0,1042749,your-fault,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/your-fault/,Yes,1042749
Sonic the Hedgehog 3,2024,2.5,844148,sonic-the-hedgehog-3,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/sonic-the-hedgehog-3/,Yes,844148
Carry-On,2024,3.5,905876,carry-on-2024,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/carry-on-2024/,Yes,905876
The Day of the Jackal,2024,,1273543,the-day-of-the-jackal-2024,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-day-of-the-jackal-2024/,No,1273543
Juror #2,2024,3.5,997722,juror-2,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/juror-2/,Yes,997722
Venom: The Last Dance,2024,2.0,819320,venom-the-last-dance,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/venom-the-last-dance/,Yes,819320
Gladiator II,2024,3.0,486978,gladiator-ii,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/gladiator-ii/,No,486978
Smile 2,2024,4.0,992360,smile-2-2024,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/smile-2-2024/,Yes,992360
Caddo Lake,2024,3.5,777979,caddo-lake,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/caddo-lake/,Yes,777979
Weekend in Taipei,2024,2.0,1054715,weekend-in-taipei,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/weekend-in-taipei/,Yes,1054715
Heretic,2024,4.0,1025331,heretic-2024,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/heretic-2024/,Yes,1025331
The Wild Robot,2024,5.0,1071196,the-wild-robot,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-wild-robot/,Yes,1071196
Transformers One,2024,4.0,622413,transformers-one,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/transformers-one/,Yes,622413
The Life of Chuck,2024,3.5,757612,the-life-of-chuck,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-life-of-chuck/,No,757612
We Live in Time,2024,4.0,991786,we-live-in-time,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/we-live-in-time/,No,991786
Wolfs,2024,2.5,789010,wolfs,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/wolfs/,Yes,789010
Babygirl,2024,2.0,989125,babygirl-2024,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/babygirl-2024/,Yes,989125
Rebel Ridge,2024,2.5,571791,rebel-ridge,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/rebel-ridge/,Yes,571791
The Union,2024,3.0,627583,the-union-2024,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-union-2024/,No,627583
Borderlands,2024,2.5,301123,borderlands-2024,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/borderlands-2024/,No,301123
It Ends with Us,2024,3.0,972267,it-ends-with-us,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/it-ends-with-us/,Yes,972267
Deadpool & Wolverine,2024,3.5,462870,deadpool-wolverine,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/deadpool-wolverine/,Yes,462870
Longlegs,2024,3.0,1110059,longlegs,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/longlegs/,Yes,1110059
Twisters,2024,3.0,641608,twisters,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/twisters/,Yes,641608
A Family Affair,2024,1.5,889178,a-family-affair-2024-1,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/a-family-affair-2024-1/,Yes,889178
MaXXXine,2024,2.0,922858,maxxxine,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/maxxxine/,No,922858
Inside Out 2,2024,3.5,921578,inside-out-2-2024,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/inside-out-2-2024/,Yes,921578
Winter Spring Summer or Fall,2024,1.5,954972,winter-spring-summer-or-fall,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/winter-spring-summer-or-fall/,Yes,954972
Anora,2024,2.5,959540,anora,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/anora/,Yes,959540
The Substance,2024,4.5,838140,the-substance,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-substance/,Yes,838140
Furiosa: A Mad Max Saga,2024,4.0,705221,furiosa-a-mad-max-saga,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/furiosa-a-mad-max-saga/,Yes,705221
Tarot,2024,2.5,642249,tarot-2024,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/tarot-2024/,Yes,642249
The Garfield Movie,2024,3.5,670800,the-garfield-movie,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-garfield-movie/,Yes,670800
The Ministry of Ungentlemanly Warfare,2024,3.5,717126,the-ministry-of-ungentlemanly-warfare,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-ministry-of-ungentlemanly-warfare/,No,717126
Abigail,2024,3.0,1001285,abigail-2024,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/abigail-2024/,No,1001285
Rebel Moon – Part Two: The Scargiver,2024,1.0,839326,rebel-moon-part-two-the-scargiver,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/rebel-moon-part-two-the-scargiver/,Yes,839326
Challengers,2024,3.5,842301,challengers,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/challengers/,Yes,842301
Ghostbusters: Frozen Empire,2024,2.5,871041,ghostbusters-frozen-empire,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/ghostbusters-frozen-empire/,Yes,871041
The Fall Guy,2024,3.5,667550,the-fall-guy-2024,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-fall-guy-2024/,Yes,667550
Immaculate,2024,2.0,938894,immaculate-2024,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/immaculate-2024/,No,938894
Kung Fu Panda 4,2024,3.0,911187,kung-fu-panda-4,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/kung-fu-panda-4/,Yes,911187
Ricky Stanicky,2024,3.0,921527,ricky-stanicky,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/ricky-stanicky/,Yes,921527
Exhuma,2024,3.0,753610,exhuma,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/exhuma/,Yes,753610
Madame Web,2024,3.0,560697,madame-web,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/madame-web/,Yes,560697
"Lover, Stalker, Killer",2024,3.5,1113522,lover-stalker-killer,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/lover-stalker-killer/,No,1113522
Dune: Part Two,2024,4.5,617443,dune-part-two,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/dune-part-two/,No,617443
Argylle,2024,2.0,763160,argylle,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/argylle/,No,763160
It's What's Inside,2024,4.0,949053,its-whats-inside,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/its-whats-inside/,Yes,949053
I Saw the TV Glow,2024,4.0,772230,i-saw-the-tv-glow,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/i-saw-the-tv-glow/,Yes,772230
Miller's Girl,2024,2.5,925306,millers-girl,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/millers-girl/,Yes,925306
The Beekeeper,2024,2.5,780170,the-beekeeper-2024,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-beekeeper-2024/,Yes,780170
Mean Girls,2024,3.0,598274,mean-girls-2024,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/mean-girls-2024/,Yes,598274
Aquaman and the Lost Kingdom,2023,2.0,501170,aquaman-and-the-lost-kingdom,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/aquaman-and-the-lost-kingdom/,Yes,501170
Anyone But You,2023,3.5,966990,anyone-but-you,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/anyone-but-you/,No,966990
Rebel Moon – Part One: A Child of Fire,2023,2.5,762812,rebel-moon-part-one-a-child-of-fire,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/rebel-moon-part-one-a-child-of-fire/,Yes,762812
Wonka,2023,3.0,706083,wonka,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/wonka/,Yes,706083
Scott Pilgrim Takes Off,2023,4.0,1090923,scott-pilgrim-takes-off-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/scott-pilgrim-takes-off-2023/,Yes,1090923
Napoleon,2023,2.0,674137,napoleon-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/napoleon-2023/,No,674137
The Iron Claw,2023,3.5,764890,the-iron-claw-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-iron-claw-2023/,Yes,764890
The Marvels,2023,0.5,536970,the-marvels,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-marvels/,No,536970
The Hunger Games: The Ballad of Songbirds & Snakes,2023,4.5,619510,the-hunger-games-the-ballad-of-songbirds-snakes,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-hunger-games-the-ballad-of-songbirds-snakes/,Yes,619510
Thanksgiving,2023,3.0,965346,thanksgiving-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/thanksgiving-2023/,Yes,965346
Godzilla Minus One,2023,2.5,845706,godzilla-minus-one,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/godzilla-minus-one/,No,845706
Leave the World Behind,2023,3.0,648869,leave-the-world-behind-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/leave-the-world-behind-2023/,Yes,648869
Five Nights at Freddy's,2023,2.0,436948,five-nights-at-freddys,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/five-nights-at-freddys/,Yes,436948
The Devil on Trial,2023,2.5,1059150,the-devil-on-trial,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-devil-on-trial/,Yes,1059150
Migration,2023,3.0,845391,migration-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/migration-2023/,No,845391
The Fall of the House of Usher,2023,3.0,1071312,the-fall-of-the-house-of-usher-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-fall-of-the-house-of-usher-2023/,No,1071312
Sister Death,2023,2.0,859749,sister-death,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/sister-death/,Yes,859749
The Marsh King's Daughter,2023,3.0,716076,the-marsh-kings-daughter,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-marsh-kings-daughter/,No,716076
Totally Killer,2023,3.5,877360,totally-killer,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/totally-killer/,No,877360
Saw X,2023,3.0,856036,saw-x,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/saw-x/,No,856036
The Creator,2023,4.0,595029,the-creator-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-creator-2023/,No,595029
Love at First Sight,2023,2.5,283829,love-at-first-sight-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/love-at-first-sight-2023/,No,283829
When Evil Lurks,2023,5.0,666396,when-evil-lurks,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/when-evil-lurks/,Yes,666396
A Haunting in Venice,2023,2.5,850375,a-haunting-in-venice,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/a-haunting-in-venice/,No,850375
Pain Hustlers,2023,2.0,777182,pain-hustlers,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/pain-hustlers/,No,777182
Society of the Snow,2023,3.5,813840,society-of-the-snow,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/society-of-the-snow/,Yes,813840
Dumb Money,2023,3.0,710073,dumb-money,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/dumb-money/,No,710073
Reptile,2023,3.0,780451,reptile-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/reptile-2023/,No,780451
The Nun II,2023,3.0,871385,the-nun-ii,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/the-nun-ii/,No,871385
Hit Man,2023,3.5,877046,hit-man-2023,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png,/film/hit-man-2023/,Yes,877046
